samplename,nameid,function entity,property name,property type,function type,function description,full description,abstract,link
NEU-SKommareddyBC2005-14,28835862,small molecule,FITC-Dextran Conjugate,NaN,imaging function,"Spectrophotometry of gelatin nanoparticles dissolved in PBS containing protease, in PBS, and in PBS containing various concentration of glutathione
",NaN,"To enhance the intracellular delivery potential of plasmid DNA using nonviral vectors, we have developed thiolated gelatin nanoparticles that can release the payload in the highly reducing environment, such as in response to glutathione. Thiolated gelatin was synthesized by covalent modification of the primary amino groups of Type B gelatin using 2-iminothiolane (Traut&apos;s reagent). The degree of thiolation of the polymers ranged from 0 to 43.71 mmol of reduced sulfhydryl (SH) groups when the amount of 2-iminothiolane was increased up to 100 mg per gram of the biopolymer. Cytotoxicity evaluations carried out by the formazan (MTS) assay showed that the thiolated gelatin prepared with 20 mg and 40 mg of 2-iminothiolane (SHGel-20 and SHGel-40) per gram of gelatin had comparable cell viability profile to that of the unmodified gelatin. In vitro release studies of fluorescein isothiocyanate (FITC)-labeled dextran (mol wt. 70 000 Da), when encapsulated in gelatin and thiolated gelatin nanoparticles (150-250 nm in diameter), was found to be affected by the presence of glutathione (GSH) in the medium. The presence of GSH was found to enhance the release by about 40% in case of thiolated gelatin and about 20% in gelatin nanoparticles under similar conditions of temperature and GSH concentrations. Qualitative and quantitative analysis of transfection in NIH-3T3 murine fibroblast cells by the nanoparticles carrying plasmid DNA encoding for enhanced green fluorescent protein (EGFP-N1) was done by fluorescence confocal microscopy and fluorescence-activated cell sorting (FACS). Qualitative results showed highly efficient expression of GFP that remained stable for up to 96 h. Quantitative results from FACS showed that the thiolated gelatin nanoparticles (SHGel-20) were significantly more effective in transfecting NIH-3T3 cells than other carrier systems examined. The results of this study show that thiolated gelatin nanoparticles would serve as a biocompatible intracellular delivery system that can release the payload in a highly reducing environment.",https://www.ncbi.nlm.nih.gov/pubmed/16287238
NEU-SKommareddyBC2005-13,28835861,small molecule,FITC-Dextran Conjugate,NaN,imaging function,"Spectrophotometry of gelatin nanoparticles dissolved in PBS containing protease, in PBS, and in PBS containing various concentration of glutathione
",NaN,"To enhance the intracellular delivery potential of plasmid DNA using nonviral vectors, we have developed thiolated gelatin nanoparticles that can release the payload in the highly reducing environment, such as in response to glutathione. Thiolated gelatin was synthesized by covalent modification of the primary amino groups of Type B gelatin using 2-iminothiolane (Traut&apos;s reagent). The degree of thiolation of the polymers ranged from 0 to 43.71 mmol of reduced sulfhydryl (SH) groups when the amount of 2-iminothiolane was increased up to 100 mg per gram of the biopolymer. Cytotoxicity evaluations carried out by the formazan (MTS) assay showed that the thiolated gelatin prepared with 20 mg and 40 mg of 2-iminothiolane (SHGel-20 and SHGel-40) per gram of gelatin had comparable cell viability profile to that of the unmodified gelatin. In vitro release studies of fluorescein isothiocyanate (FITC)-labeled dextran (mol wt. 70 000 Da), when encapsulated in gelatin and thiolated gelatin nanoparticles (150-250 nm in diameter), was found to be affected by the presence of glutathione (GSH) in the medium. The presence of GSH was found to enhance the release by about 40% in case of thiolated gelatin and about 20% in gelatin nanoparticles under similar conditions of temperature and GSH concentrations. Qualitative and quantitative analysis of transfection in NIH-3T3 murine fibroblast cells by the nanoparticles carrying plasmid DNA encoding for enhanced green fluorescent protein (EGFP-N1) was done by fluorescence confocal microscopy and fluorescence-activated cell sorting (FACS). Qualitative results showed highly efficient expression of GFP that remained stable for up to 96 h. Quantitative results from FACS showed that the thiolated gelatin nanoparticles (SHGel-20) were significantly more effective in transfecting NIH-3T3 cells than other carrier systems examined. The results of this study show that thiolated gelatin nanoparticles would serve as a biocompatible intracellular delivery system that can release the payload in a highly reducing environment.",https://www.ncbi.nlm.nih.gov/pubmed/16287238
NEU-SKommareddyBC2005-12,28835860,small molecule,FITC-Dextran Conjugate,NaN,imaging function,"Spectrophotometry of gelatin nanoparticles dissolved in PBS containing protease, in PBS, and in PBS containing various concentration of glutathione
",NaN,"To enhance the intracellular delivery potential of plasmid DNA using nonviral vectors, we have developed thiolated gelatin nanoparticles that can release the payload in the highly reducing environment, such as in response to glutathione. Thiolated gelatin was synthesized by covalent modification of the primary amino groups of Type B gelatin using 2-iminothiolane (Traut&apos;s reagent). The degree of thiolation of the polymers ranged from 0 to 43.71 mmol of reduced sulfhydryl (SH) groups when the amount of 2-iminothiolane was increased up to 100 mg per gram of the biopolymer. Cytotoxicity evaluations carried out by the formazan (MTS) assay showed that the thiolated gelatin prepared with 20 mg and 40 mg of 2-iminothiolane (SHGel-20 and SHGel-40) per gram of gelatin had comparable cell viability profile to that of the unmodified gelatin. In vitro release studies of fluorescein isothiocyanate (FITC)-labeled dextran (mol wt. 70 000 Da), when encapsulated in gelatin and thiolated gelatin nanoparticles (150-250 nm in diameter), was found to be affected by the presence of glutathione (GSH) in the medium. The presence of GSH was found to enhance the release by about 40% in case of thiolated gelatin and about 20% in gelatin nanoparticles under similar conditions of temperature and GSH concentrations. Qualitative and quantitative analysis of transfection in NIH-3T3 murine fibroblast cells by the nanoparticles carrying plasmid DNA encoding for enhanced green fluorescent protein (EGFP-N1) was done by fluorescence confocal microscopy and fluorescence-activated cell sorting (FACS). Qualitative results showed highly efficient expression of GFP that remained stable for up to 96 h. Quantitative results from FACS showed that the thiolated gelatin nanoparticles (SHGel-20) were significantly more effective in transfecting NIH-3T3 cells than other carrier systems examined. The results of this study show that thiolated gelatin nanoparticles would serve as a biocompatible intracellular delivery system that can release the payload in a highly reducing environment.",https://www.ncbi.nlm.nih.gov/pubmed/16287238
NEU-SKommareddyBC2005-11,28835859,small molecule,FITC-Dextran Conjugate,NaN,imaging function,"Spectrophotometry of gelatin nanoparticles dissolved in PBS containing protease, in PBS, and in PBS containing various concentration of glutathione
",NaN,"To enhance the intracellular delivery potential of plasmid DNA using nonviral vectors, we have developed thiolated gelatin nanoparticles that can release the payload in the highly reducing environment, such as in response to glutathione. Thiolated gelatin was synthesized by covalent modification of the primary amino groups of Type B gelatin using 2-iminothiolane (Traut&apos;s reagent). The degree of thiolation of the polymers ranged from 0 to 43.71 mmol of reduced sulfhydryl (SH) groups when the amount of 2-iminothiolane was increased up to 100 mg per gram of the biopolymer. Cytotoxicity evaluations carried out by the formazan (MTS) assay showed that the thiolated gelatin prepared with 20 mg and 40 mg of 2-iminothiolane (SHGel-20 and SHGel-40) per gram of gelatin had comparable cell viability profile to that of the unmodified gelatin. In vitro release studies of fluorescein isothiocyanate (FITC)-labeled dextran (mol wt. 70 000 Da), when encapsulated in gelatin and thiolated gelatin nanoparticles (150-250 nm in diameter), was found to be affected by the presence of glutathione (GSH) in the medium. The presence of GSH was found to enhance the release by about 40% in case of thiolated gelatin and about 20% in gelatin nanoparticles under similar conditions of temperature and GSH concentrations. Qualitative and quantitative analysis of transfection in NIH-3T3 murine fibroblast cells by the nanoparticles carrying plasmid DNA encoding for enhanced green fluorescent protein (EGFP-N1) was done by fluorescence confocal microscopy and fluorescence-activated cell sorting (FACS). Qualitative results showed highly efficient expression of GFP that remained stable for up to 96 h. Quantitative results from FACS showed that the thiolated gelatin nanoparticles (SHGel-20) were significantly more effective in transfecting NIH-3T3 cells than other carrier systems examined. The results of this study show that thiolated gelatin nanoparticles would serve as a biocompatible intracellular delivery system that can release the payload in a highly reducing environment.",https://www.ncbi.nlm.nih.gov/pubmed/16287238
NEU-SKommareddyBC2005-10,28835858,small molecule,FITC-Dextran Conjugate,NaN,imaging function,"Spectrophotometry of gelatin nanoparticles dissolved in PBS containing protease, in PBS, and in PBS containing various concentration of glutathione
",NaN,"To enhance the intracellular delivery potential of plasmid DNA using nonviral vectors, we have developed thiolated gelatin nanoparticles that can release the payload in the highly reducing environment, such as in response to glutathione. Thiolated gelatin was synthesized by covalent modification of the primary amino groups of Type B gelatin using 2-iminothiolane (Traut&apos;s reagent). The degree of thiolation of the polymers ranged from 0 to 43.71 mmol of reduced sulfhydryl (SH) groups when the amount of 2-iminothiolane was increased up to 100 mg per gram of the biopolymer. Cytotoxicity evaluations carried out by the formazan (MTS) assay showed that the thiolated gelatin prepared with 20 mg and 40 mg of 2-iminothiolane (SHGel-20 and SHGel-40) per gram of gelatin had comparable cell viability profile to that of the unmodified gelatin. In vitro release studies of fluorescein isothiocyanate (FITC)-labeled dextran (mol wt. 70 000 Da), when encapsulated in gelatin and thiolated gelatin nanoparticles (150-250 nm in diameter), was found to be affected by the presence of glutathione (GSH) in the medium. The presence of GSH was found to enhance the release by about 40% in case of thiolated gelatin and about 20% in gelatin nanoparticles under similar conditions of temperature and GSH concentrations. Qualitative and quantitative analysis of transfection in NIH-3T3 murine fibroblast cells by the nanoparticles carrying plasmid DNA encoding for enhanced green fluorescent protein (EGFP-N1) was done by fluorescence confocal microscopy and fluorescence-activated cell sorting (FACS). Qualitative results showed highly efficient expression of GFP that remained stable for up to 96 h. Quantitative results from FACS showed that the thiolated gelatin nanoparticles (SHGel-20) were significantly more effective in transfecting NIH-3T3 cells than other carrier systems examined. The results of this study show that thiolated gelatin nanoparticles would serve as a biocompatible intracellular delivery system that can release the payload in a highly reducing environment.",https://www.ncbi.nlm.nih.gov/pubmed/16287238
NEU-SKommareddyBC2005-09,28835857,small molecule,FITC-Dextran Conjugate,NaN,imaging function,"Spectrophotometry of gelatin nanoparticles dissolved in PBS containing protease, in PBS, and in PBS containing various concentration of glutathione
",NaN,"To enhance the intracellular delivery potential of plasmid DNA using nonviral vectors, we have developed thiolated gelatin nanoparticles that can release the payload in the highly reducing environment, such as in response to glutathione. Thiolated gelatin was synthesized by covalent modification of the primary amino groups of Type B gelatin using 2-iminothiolane (Traut&apos;s reagent). The degree of thiolation of the polymers ranged from 0 to 43.71 mmol of reduced sulfhydryl (SH) groups when the amount of 2-iminothiolane was increased up to 100 mg per gram of the biopolymer. Cytotoxicity evaluations carried out by the formazan (MTS) assay showed that the thiolated gelatin prepared with 20 mg and 40 mg of 2-iminothiolane (SHGel-20 and SHGel-40) per gram of gelatin had comparable cell viability profile to that of the unmodified gelatin. In vitro release studies of fluorescein isothiocyanate (FITC)-labeled dextran (mol wt. 70 000 Da), when encapsulated in gelatin and thiolated gelatin nanoparticles (150-250 nm in diameter), was found to be affected by the presence of glutathione (GSH) in the medium. The presence of GSH was found to enhance the release by about 40% in case of thiolated gelatin and about 20% in gelatin nanoparticles under similar conditions of temperature and GSH concentrations. Qualitative and quantitative analysis of transfection in NIH-3T3 murine fibroblast cells by the nanoparticles carrying plasmid DNA encoding for enhanced green fluorescent protein (EGFP-N1) was done by fluorescence confocal microscopy and fluorescence-activated cell sorting (FACS). Qualitative results showed highly efficient expression of GFP that remained stable for up to 96 h. Quantitative results from FACS showed that the thiolated gelatin nanoparticles (SHGel-20) were significantly more effective in transfecting NIH-3T3 cells than other carrier systems examined. The results of this study show that thiolated gelatin nanoparticles would serve as a biocompatible intracellular delivery system that can release the payload in a highly reducing environment.",https://www.ncbi.nlm.nih.gov/pubmed/16287238
NEU-SKommareddyJPS2007-08,28835848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NEU-SKommareddyJPS2007-07,28835847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NEU-SKommareddyJPS2007-06,28835846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NEU-SKommareddyJPS2007-05,28835845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SUNYB-RKumarACSNano2010-02,27688970,small molecule,DY776-NHS,NaN,imaging function,,NaN,"Successful translation of the use of nanoparticles from laboratories to clinics requires exhaustive and elaborate studies involving the biodistribution, clearance, and biocompatibility of nanoparticles for in vivo biomedical applications. We report here the use of multimodal organically modified silica (ORMOSIL) nanoparticles for in vivo bioimaging, biodistribution, clearance, and toxicity studies. We have synthesized ORMOSIL nanoparticles with diameters of 20-25 nm, conjugated with near-infrared (NIR) fluorophores and radiolabeled them with (124)I, for optical and PET imaging in vivo. The biodistribution of the nontargeted nanoparticles was studied in nontumored nude mice by optical fluorescence imaging, as well by measuring the radioactivity from harvested organs. Biodistribution studies showed a greater accumulation of nanoparticles in liver, spleen, and stomach than in kidney, heart, and lungs. The clearance studies carried out over a period of 15 days indicated hepatobiliary excretion of the nanoparticles. Selected tissues were analyzed for any potential toxicity by histological analysis, which confirmed the absence of any adverse effect or any other abnormalities in the tissues. The results demonstrate that these multimodal nanoparticles have potentially ideal attributes for use as biocompatible probes for in vivo imaging.",https://www.ncbi.nlm.nih.gov/pubmed/20088598
SUNYB-RKumarACSNano2010-01,27688969,small molecule,DY776-NHS,NaN,imaging function,Whole body imaging of murine model and ex vivo imaging of excised tissues,NaN,"Successful translation of the use of nanoparticles from laboratories to clinics requires exhaustive and elaborate studies involving the biodistribution, clearance, and biocompatibility of nanoparticles for in vivo biomedical applications. We report here the use of multimodal organically modified silica (ORMOSIL) nanoparticles for in vivo bioimaging, biodistribution, clearance, and toxicity studies. We have synthesized ORMOSIL nanoparticles with diameters of 20-25 nm, conjugated with near-infrared (NIR) fluorophores and radiolabeled them with (124)I, for optical and PET imaging in vivo. The biodistribution of the nontargeted nanoparticles was studied in nontumored nude mice by optical fluorescence imaging, as well by measuring the radioactivity from harvested organs. Biodistribution studies showed a greater accumulation of nanoparticles in liver, spleen, and stomach than in kidney, heart, and lungs. The clearance studies carried out over a period of 15 days indicated hepatobiliary excretion of the nanoparticles. Selected tissues were analyzed for any potential toxicity by histological analysis, which confirmed the absence of any adverse effect or any other abnormalities in the tissues. The results demonstrate that these multimodal nanoparticles have potentially ideal attributes for use as biocompatible probes for in vivo imaging.",https://www.ncbi.nlm.nih.gov/pubmed/20088598
UMC_HSTVAMC_NB-NChandaPNAS2010-06,27131913,biopolymer,SS-BBN,,targeting function,Expresses high affinity towards gastrin releasing peptide receptor,NaN,"Development of cancer receptor-specific gold nanoparticles will allow efficient targeting/optimum retention of engineered gold nanoparticles within tumors and thus provide synergistic advantages in oncology as it relates to molecular imaging and therapy. Bombesin (BBN) peptides have demonstrated high affinity toward gastrin-releasing peptide (GRP) receptors in vivo that are overexpressed in prostate, breast, and small-cell lung carcinoma. We have synthesized a library of GRP receptor-avid nanoplatforms by conjugating gold nanoparticles (AuNPs) with BBN peptides. Cellular interactions and binding affinities (IC(50)) of AuNP-BBN conjugates toward GRP receptors on human prostate cancer cells have been investigated in detail. In vivo studies using AuNP-BBN and its radiolabeled surrogate (198)AuNP-BBN, exhibiting high binding affinity (IC(50) in microgram ranges), provide unequivocal evidence that AuNP-BBN constructs are GRP-receptor-specific showing accumulation with high selectivity in GRP-receptor-rich pancreatic acne in normal mice and also in tumors in prostate-tumor-bearing, severe combined immunodeficient mice. The i.p. mode of delivery has been found to be efficient as AuNP-BBN conjugates showed reduced RES organ uptake with concomitant increase in uptake at tumor targets. The selective uptake of this new generation of GRP-receptor-specific AuNP-BBN peptide analogs has demonstrated realistic clinical potential in molecular imaging via x-ray computed tomography techniques as the contrast numbers in prostate tumor sites are severalfold higher as compared to the pretreatment group (Hounsfield unit = 150).",https://www.ncbi.nlm.nih.gov/pubmed/20410458
UMC_HSTVAMC_NCL_NB-NChandaNNBM2010-02,27131907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UNC-SGrattonJCR2007-02,26476566,small molecule,Na125I,NaN,imaging function,Ex vivo measurements with gamma counter specific activities of murine tissues,NaN,"A novel method for the fabrication of polymeric particles on the order of tens of nanometers to several microns is described. This imprint lithographic technique called PRINT (Particle Replication In Non-wetting Templates), takes advantage of the unique properties of elastomeric molds comprised of a low surface energy perfluoropolyether network, allowing the production of monodisperse, shape-specific nanoparticles from an extensive array of organic precursors. This engineered nature of particle production has a number of advantages over the construction of traditional nanoparticles such as liposomes, dendrimers, and colloidal precipitates. The gentle &quot;top down&quot; approach of PRINT enables the simultaneous and independent control over particle size and shape, composition, and surface functionality, and permits the loading of delicate cargos such as small organic therapeutics and biological macromolecules. Thus, this single tool serves as a comprehensive platform for the rational design and investigation of new nanocarriers in medicine, having applications ranging from therapeutics to advanced diagnostics. Preliminary in vitro and in vivo studies were conducted, demonstrating the future utility of PRINT particles as delivery vectors in nanomedicine. Monodisperse 200 nm poly(ethylene glycol)-based (PEG) particles were fabricated using PRINT methodology and characterized via scanning electron microscopy and dynamic light scattering. Incubation with HeLa cells showed very little cytotoxicity, even at high concentrations. The biodistribution and pharmacokinetics of [(125)I]-labeled particles were studied in healthy mice following bolus tail vein administration. The particles were distributed mainly to the liver and the spleen with an apparent distribution t(1/2) of approximately 17 min followed by slow redistribution with a t(1/2) of 3.3 h. The volume of distribution for the central and peripheral compartments was found to be approximately 3 mL and 5 mL, respectively.",https://www.ncbi.nlm.nih.gov/pubmed/17643544
NWU-SHurstAC2006-20,26476563,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-19,26476562,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-18,26476561,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-17,26476560,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-16,26476559,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-15,26476558,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-14,26476557,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-13,26476556,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-12,26476555,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-11,26476554,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-10,26476553,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-09,26476552,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-08,26476551,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-07,26476550,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
NWU-SHurstAC2006-06,26476549,biopolymer,Alkanethiol Oligonucleotide,,imaging function,"Fluorescence spectrophotometry of oligonucleotides separated from gold particles
",NaN,"We have investigated the variables that influence DNA coverage on gold nanoparticles. The effects of salt concentration, spacer composition, nanoparticle size, and degree of sonication have been evaluated. Maximum loading was obtained by salt aging the nanoparticles to approximately 0.7 M NaCl in the presence of DNA containing a poly(ethylene glycol) spacer. In addition, DNA loading was substantially increased by sonicating the nanoparticles during the surface loading process. Last, nanoparticles up to 250 nm in diameter were found have approximately 2 orders of magnitude higher DNA loading than smaller (13-30 nm) nanoparticles, a consequence of their larger surface area. Stable large particles are attractive for a variety of biodiagnostic assays.",https://www.ncbi.nlm.nih.gov/pubmed/17165821
